Ölkələr — BMT üzvləri və müşahidəçi dövlətlər (195),,,,
,,,,
№,Ölkə (AZ),Country (EN),Status,Kim tutub (cari mövsüm)
92,Laos,Laos,BMT üzvü,
93,Latviya,Latvia,BMT üzvü,
94,Livan,Lebanon,BMT üzvü,
95,Lesoto,Lesotho,BMT üzvü,
96,Liberiya,Liberia,BMT üzvü,
97,Liviya,Libya,BMT üzvü,
98,Lixtenşteyn,Liechtenstein,BMT üzvü,
99,Litva,Lithuania,BMT üzvü,
100,Lüksemburq,Luxembourg,BMT üzvü,
101,Madaqaskar,Madagascar,BMT üzvü,
102,Malavi,Malawi,BMT üzvü,
103,Malayziya,Malaysia,BMT üzvü,
104,Maldiv adaları,Maldives,BMT üzvü,
105,Mali,Mali,BMT üzvü,
106,Malta,Malta,BMT üzvü,
107,Marşal adaları,Marshall Islands,BMT üzvü,
108,Mavritaniya,Mauritania,BMT üzvü,
109,Mavriki,Mauritius,BMT üzvü,
110,Meksika,Mexico,BMT üzvü,
111,Mikroneziya,Micronesia,BMT üzvü,
112,Moldova,Moldova,BMT üzvü,
113,Monako,Monaco,BMT üzvü,
114,Monqolustan,Mongolia,BMT üzvü,
115,Monteneqro,Montenegro,BMT üzvü,
116,Mərakeş,Morocco,BMT üzvü,
117,Mozambik,Mozambique,BMT üzvü,
118,Myanma,Myanmar,BMT üzvü,
119,Namibiya,Namibia,BMT üzvü,
120,Nauru,Nauru,BMT üzvü,
121,Nepal,Nepal,BMT üzvü,
122,Niderland,Netherlands,BMT üzvü,
123,Yeni Zelandiya,New Zealand,BMT üzvü,
124,Nikaraqua,Nicaragua,BMT üzvü,
125,Niger,Niger,BMT üzvü,
126,Nigeriya,Nigeria,BMT üzvü,
127,Şimali Koreya,North Korea,BMT üzvü,
128,Şimali Makedoniya,North Macedonia,BMT üzvü,
129,Norveç,Norway,BMT üzvü,
130,Oman,Oman,BMT üzvü,
131,Pakistan,Pakistan,BMT üzvü,
132,Palau,Palau,BMT üzvü,
133,Panama,Panama,BMT üzvü,
134,Papua-Yeni Qvineya,Papua New Guinea,BMT üzvü,
135,Paraqvay,Paraguay,BMT üzvü,
136,Peru,Peru,BMT üzvü,
137,Filippin,Philippines,BMT üzvü,
138,Polşa,Poland,BMT üzvü,
139,Portuqaliya,Portugal,BMT üzvü,
140,Qətər,Qatar,BMT üzvü,
141,Rumıniya,Romania,BMT üzvü,
142,Rusiya,Russia,BMT üzvü,
143,Ruanda,Rwanda,BMT üzvü,
144,Sent-Kits və Nevis,Saint Kitts and Nevis,BMT üzvü,
145,Sent-Lusiya,Saint Lucia,BMT üzvü,
146,Sent-Vinsent və Qrenadinlər,Saint Vincent and the Grenadines,BMT üzvü,
147,Samoa,Samoa,BMT üzvü,
148,San-Marino,San Marino,BMT üzvü,
149,San-Tome və Prinsipi,São Tomé and Príncipe,BMT üzvü,
150,Səudiyyə Ərəbistanı,Saudi Arabia,BMT üzvü,
151,Seneqal,Senegal,BMT üzvü,
152,Serbiya,Serbia,BMT üzvü,
153,Seyşel adaları,Seychelles,BMT üzvü,
154,Syerra-Leone,Sierra Leone,BMT üzvü,
155,Sinqapur,Singapore,BMT üzvü,
156,Slovakiya,Slovakia,BMT üzvü,
157,Sloveniya,Slovenia,BMT üzvü,
158,Solomon adaları,Solomon Islands,BMT üzvü,
159,Somali,Somalia,BMT üzvü,
160,Cənubi Afrika Respublikası,South Africa,BMT üzvü,
161,Cənubi Koreya,South Korea,BMT üzvü,
162,Cənubi Sudan,South Sudan,BMT üzvü,
163,İspaniya,Spain,BMT üzvü,
164,Şri-Lanka,Sri Lanka,BMT üzvü,
165,Sudan,Sudan,BMT üzvü,
166,Surinam,Suriname,BMT üzvü,
167,İsveç,Sweden,BMT üzvü,Nümunə A
168,İsveçrə,Switzerland,BMT üzvü,
169,Suriya,Syria,BMT üzvü,
170,Tacikistan,Tajikistan,BMT üzvü,
171,Tanzaniya,Tanzania,BMT üzvü,
172,Tailand,Thailand,BMT üzvü,
173,Şərqi Timor,Timor-Leste,BMT üzvü,
174,Toqo,Togo,BMT üzvü,
175,Tonqa,Tonga,BMT üzvü,
176,Trinidad və Tobaqo,Trinidad and Tobago,BMT üzvü,
177,Tunis,Tunisia,BMT üzvü,
178,Türkiyə,Türkiye,BMT üzvü,
179,Türkmənistan,Turkmenistan,BMT üzvü,
180,Tuvalu,Tuvalu,BMT üzvü,
181,Uqanda,Uganda,BMT üzvü,
182,Ukrayna,Ukraine,BMT üzvü,
183,Birləşmiş Ərəb Əmirlikləri,United Arab Emirates,BMT üzvü,
184,Birləşmiş Krallıq,United Kingdom,BMT üzvü,
185,Amerika Birləşmiş Ştatları,United States,BMT üzvü,
186,Uruqvay,Uruguay,BMT üzvü,
187,Özbəkistan,Uzbekistan,BMT üzvü,
188,Vanuatu,Vanuatu,BMT üzvü,
189,Venesuela,Venezuela,BMT üzvü,
190,Vyetnam,Vietnam,BMT üzvü,
191,Yəmən,Yemen,BMT üzvü,
192,Zambiya,Zambia,BMT üzvü,
193,Zimbabve,Zimbabwe,BMT üzvü,
194,Vatikan (Müqəddəs Taxt),Holy See,BMT müşahidəçisi,
195,Fələstin,State of Palestine,BMT müşahidəçisi,
